Disponibilité intérieure,Aliments pour animaux,Semences,Pertes,Traitement,Nourriture,Autres utilisations (non alimentaire)
11.0,,,,,11.0,
5.0,5.0,,,,,
2.0,,,,,,2.0
,,,,,,
,,,,,,
,,,,,,
1.0,,,,,1.0,
,,,,,,
,,,,,,
1.0,,,,,,1.0
,,,,,,
1.0,,,,,1.0,
,,,,,,
30.0,,,,,26.0,3.0
,,,,,,
,,,,,,
671.0,48.0,,,,622.0,
764.0,13.0,,27.0,,724.0,
3.0,3.0,,,,,
,,,,,,
102.0,96.0,,7.0,,,
2.0,,,,,2.0,
,,,,,,
,,,,,,
,,,,,,
6.0,,,,,6.0,
35.0,,,,,35.0,
53.0,,,,,52.0,
3.0,,,,,3.0,
14.0,,,,,14.0,
198.0,137.0,14.0,15.0,7.0,,26.0
2.0,,,,,2.0,
,,,,,,
,,,,,,
,,,,,,
1.0,1.0,,,,,
2.0,2.0,,,,,
10.0,,,,,10.0,
1.0,,,,,1.0,
11.0,8.0,,,,2.0,
,,,,,,
107.0,19.0,,8.0,7.0,74.0,
672.0,225.0,123.0,96.0,78.0,134.0,16.0
,,,,,,
235.0,,,12.0,8.0,40.0,175.0
10.0,,,,,9.0,
1.0,1.0,,,,,
,,,,,,
,,,,,,
93.0,,,,,98.0,
55.0,1.0,,,54.0,,
,,,,,,
,,,,,,
273.0,,,11.0,,262.0,
9.0,,,,,9.0,
61.0,,,,,59.0,2.0
31.0,,,,,29.0,2.0
40.0,,,,,40.0,
,,,,,,
4.0,,,,,4.0,
,,,,,,
210.0,,,11.0,,186.0,14.0
2.0,,,,,2.0,
14.0,,,,,,14.0
8.0,,,,,8.0,
122.0,,,,,122.0,
5.0,,,,,5.0,
34.0,,,1.0,3.0,30.0,
656.0,595.0,35.0,22.0,,4.0,
353.0,,,7.0,,347.0,
,,,,,,
97.0,,,,,86.0,11.0
2081.0,,,,,2081.0,
6691.0,3200.0,631.0,229.0,66.0,1645.0,920.0
27.0,,,,,27.0,
47.0,,,,,47.0,
112.0,,,,,112.0,
28.0,,,,,28.0,
39.0,,,,,39.0,
55.0,,,,,55.0,
100.0,,,,,100.0,
7.0,,,,,7.0,
179.0,171.0,6.0,,,2.0,
5.0,,,,,5.0,
224.0,,,,,215.0,9.0
70.0,,,,,70.0,
514.0,,,10.0,24.0,480.0,
,,,,,,
884.0,,11.0,,811.0,2.0,60.0
918.0,,12.0,,906.0,,
47.0,,,,47.0,,
154.0,,,,,76.0,79.0
-18.0,,2.0,,,,
41.0,,,,,15.0,26.0
140.0,,,,,75.0,65.0
2.0,,,,,2.0,
33.0,,,,,33.0,
21.0,,,,,10.0,11.0
218.0,,,,,218.0,
7.0,,,,,7.0,
84.0,,,,,84.0,
8.0,,,,,,8.0
46.0,,,,,46.0,
3.0,,,,,3.0,
54.0,,,,,51.0,3.0
,,,,,,
6.0,6.0,,,,,
,,,,,,
6375.0,449.0,,,,5474.0,452.0
1512.0,,,40.0,,1473.0,
590.0,494.0,46.0,33.0,,17.0,
91.0,,,,,5.0,87.0
343.0,200.0,1.0,13.0,,115.0,13.0
10.0,,,,,10.0,
37.0,37.0,,,,,
,,,,,,
68.0,,,,,68.0,
176.0,,,2.0,,174.0,
244.0,,43.0,2.0,,199.0,
256.0,,,15.0,,241.0,
122.0,,,,56.0,66.0,
370.0,,,5.0,,364.0,
2854.0,2350.0,167.0,35.0,302.0,,
,,,,,,
11.0,,,,,10.0,
43.0,2.0,,2.0,,38.0,
161.0,,,,,161.0,
3.0,,,,,3.0,
7.0,,,,,,7.0
5.0,,1.0,,9.0,,1.0
149.0,97.0,33.0,6.0,,13.0,
96.0,,,,,96.0,
51.0,,,,,51.0,
278.0,173.0,,,,105.0,
3.0,,,,,3.0,
540.0,,,6.0,,534.0,
1457.0,65.0,93.0,25.0,,1274.0,
5.0,2.0,,,,,2.0
1798.0,,,3.0,1642.0,154.0,
388.0,,8.0,8.0,2.0,258.0,113.0
27.0,,3.0,,,24.0,
90.0,3.0,1.0,4.0,77.0,4.0,
1433.0,1383.0,5.0,,45.0,,
1888.0,9.0,,41.0,,851.0,987.0
,,,,,,
27136.0,,,,27136.0,,
6.0,,,,6.0,,
15.0,,,,,15.0,
687.0,,,,,687.0,
248.0,,,,,231.0,18.0
790.0,,,,,790.0,
564.0,,,,,564.0,
1077.0,,,,,1077.0,
52.0,,,,2.0,52.0,
601.0,,,,14.0,455.0,132.0
7.0,,,,,7.0,
11.0,,,,,11.0,
7.0,,,,,7.0,
4.0,,,,,,4.0
,,,,,,
23.0,,,1.0,,22.0,
,,,,,,
9.0,,,,,9.0,
101.0,75.0,4.0,3.0,,19.0,
99.0,,,6.0,,93.0,
1.0,,,,,1.0,
47.0,,,,,47.0,
908.0,,,,,908.0,
1320.0,467.0,55.0,40.0,11.0,689.0,58.0
42.0,,,,,42.0,
4.0,,,,,4.0,
81.0,,,,,81.0,
2.0,,,,,2.0,
33.0,,,2.0,,31.0,
6.0,,,,,6.0,
9.0,,,,,9.0,
70.0,,,3.0,,67.0,
580.0,532.0,10.0,27.0,,,11.0
2.0,,,,,1.0,
